zaxis,yaxis,H,Na,K,Mg,Ca,Ba,Ti,V,Mn,Fe,Ni,Cu,Ag,Zn,B,Al,C,Si,Pb,REE,U,F,Cl,O,S,Se,P,As,Sb,Bi
Cl,Bi,0.005263158,0.002631579,0.002631579,0,0.002631579,0,0,0,0,0.002631579,0,0.007894737,0,0,0,0,0,0,0.007894737,0,0,0,0.028947368,0.015789474,0.013157895,0.002631579,0.002631579,0.005263158,0,0.028947368
O,H,0.691155147,0.153214113,0.074915418,0.108748188,0.209763171,0.034074432,0.046399227,0.036974384,0.090865152,0.158772354,0.014983084,0.079265346,0.001208313,0.043257612,0.045432576,0.19139681,0.066215563,0.232237796,0.048090865,0.047124215,0.05679072,0.040115998,0.051232479,0.691155147,0.108506525,0.00459159,0.111889802,0.08240696,0.007733204,0.009908168
O,Na,0.153214113,0.22982117,0.045432576,0.039874335,0.086515225,0.016674722,0.037941034,0.007008217,0.034316095,0.053165781,0.000483325,0.008458192,0,0.003866602,0.015224746,0.064040599,0.024891252,0.132189464,0.002899952,0.023441276,0.007491542,0.039874335,0.019816336,0.22982117,0.030932818,0.000724988,0.033591107,0.010149831,0.002658289,0.000966651
O,K,0.074915418,0.045432576,0.108748188,0.018849686,0.036491058,0.007974867,0.018124698,0.003383277,0.013049783,0.024407927,0.000241663,0.009666506,0.000241663,0.004108265,0.003866602,0.035524408,0.00459159,0.066698888,0.001933301,0.002899952,0.005074915,0.012324795,0.011841469,0.108748188,0.019816336,0.000724988,0.007974867,0.00459159,0.000483325,0.000241663
O,Mg,0.108748188,0.039874335,0.018849686,0.154905752,0.047124215,0.005799903,0.011599807,0.004108265,0.015224746,0.04301595,0.001208313,0.00459159,0,0.005316578,0.019816336,0.056065732,0.014016433,0.066698888,0.001933301,0.004349928,0.00459159,0.016916385,0.008458192,0.154905752,0.015466409,0.000241663,0.022232963,0.009908168,0.001933301,0.000241663
O,Ca,0.209763171,0.086515225,0.036491058,0.047124215,0.297970034,0.013291445,0.025374577,0.012083132,0.037216046,0.059207347,0.001208313,0.013533108,0.000241663,0.008458192,0.026824553,0.087965201,0.032624456,0.149347511,0.006524891,0.032141131,0.014499758,0.041565974,0.023682939,0.297970034,0.025132914,0.000483325,0.0439826,0.026824553,0.00362494,0.000966651
O,Ba,0.034074432,0.016674722,0.007974867,0.005799903,0.013291445,0.055582407,0.016433059,0.004833253,0.007491542,0.012566457,0,0.001208313,0,0.000241663,0.003383277,0.011841469,0.007008217,0.032382794,0.000724988,0.006041566,0.003383277,0.010633156,0.00459159,0.055582407,0.001933301,0.000241663,0.008941518,0.002174964,0,0
O,Ti,0.046399227,0.037941034,0.018124698,0.011599807,0.025374577,0.016433059,0.08337361,0.004349928,0.015466409,0.032141131,0,0.000483325,0,0.003866602,0.002658289,0.009666506,0.001208313,0.051957467,0.002416626,0.017641373,0.00459159,0.015708072,0.002899952,0.08337361,0.000483325,0,0.004108265,0.002658289,0.000966651,0
O,V,0.036974384,0.007008217,0.003383277,0.004108265,0.012083132,0.004833253,0.004349928,0.052440793,0.006766554,0.008458192,0.000724988,0.005558241,0.000241663,0.001691638,0.000966651,0.007974867,0.000241663,0.00918318,0.005316578,0.002658289,0.00459159,0.001449976,0.001933301,0.052440793,0.002416626,0,0.002658289,0.001691638,0.000241663,0.001691638
O,Mn,0.090865152,0.034316095,0.013049783,0.015224746,0.037216046,0.007491542,0.015466409,0.006766554,0.128322861,0.033349444,0.000724988,0.001933301,0.000241663,0.007733204,0.005799903,0.020299662,0.005316578,0.058965684,0.007491542,0.009666506,0.001449976,0.010149831,0.007491542,0.128322861,0.005316578,0,0.026099565,0.013291445,0.003141614,0
